latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
27.00508,77.8131,332.53,0.4,0.37,2023-11-01,749,N,VIIRS,l,2,304.73,1.18,D,0
27.22995,77.20877,333.15,0.42,0.38,2023-11-01,749,N,VIIRS,n,2,307.73,2.29,D,0
27.28173,77.70683,336.22,0.41,0.37,2023-11-01,749,N,VIIRS,n,2,306.86,3.01,D,0
27.86279,77.4076,335.84,0.41,0.37,2023-11-01,749,N,VIIRS,n,2,308.79,3.26,D,0
27.94544,77.77856,331.62,0.4,0.37,2023-11-01,749,N,VIIRS,l,2,306.24,2.36,D,0
28.151,77.36921,338.15,0.41,0.37,2023-11-01,749,N,VIIRS,n,2,305.99,3.68,D,0
28.37669,76.8951,330.34,0.42,0.38,2023-11-01,749,N,VIIRS,n,2,303.35,0.95,D,0
28.43619,76.60759,330.51,0.43,0.38,2023-11-01,749,N,VIIRS,n,2,302.93,1.62,D,0
28.92193,76.53748,333.96,0.42,0.38,2023-11-01,749,N,VIIRS,n,2,301.32,2.47,D,0
28.95145,76.77087,334.05,0.42,0.37,2023-11-01,749,N,VIIRS,n,2,299.68,2.38,D,0
28.96912,77.14477,336.67,0.41,0.37,2023-11-01,749,N,VIIRS,n,2,303.88,1.78,D,0
29.06836,75.90137,332.39,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,300.27,1.92,D,0
29.08617,75.73103,333.58,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,301.36,3.0,D,0
29.1501,76.55659,331.86,0.42,0.38,2023-11-01,750,N,VIIRS,n,2,300.45,3.46,D,0
29.16648,76.7348,332.68,0.42,0.37,2023-11-01,750,N,VIIRS,n,2,299.84,2.71,D,0
29.21255,77.04739,346.47,0.41,0.37,2023-11-01,750,N,VIIRS,n,2,301.86,4.91,D,0
29.37753,76.15459,335.85,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,304.13,5.04,D,0
29.41925,74.48961,333.39,0.5,0.41,2023-11-01,750,N,VIIRS,n,2,303.18,2.4,D,0
29.428,76.27673,332.85,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,300.63,2.61,D,0
29.43327,76.60677,330.92,0.42,0.37,2023-11-01,750,N,VIIRS,n,2,300.78,1.89,D,0
29.44192,75.61266,335.6,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,302.42,3.78,D,0
